system:index,NDVI,month,year,.geo
0,0.1312675525183932,1.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.14698539610930436,2.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.1746664171035439,3.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.20788554312810778,4.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2789450457976675,5.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3336792398204952,6.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.36126541161140474,7.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.30392086111394784,8.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2332106820936411,9.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2350103419664848,10.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.20671088434912332,11.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.15639458407964402,12.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.1569046837192347,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.15022339030587584,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.1668562363629623,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.23388271655658893,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.26652716990396425,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.3365982833097783,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.29349698287365633,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.3474756834646391,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.2708570507954509,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.24255084974416224,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.17485063530428438,11.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.17902290692780862,12.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.1597102087619473,1.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.15919716617939145,2.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.17563554445151044,3.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.19892381642144505,4.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.2563476215624715,5.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.2729795769167144,6.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.29450281640329756,7.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.28241998465571383,8.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.30251499534109605,9.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.24987823817150104,10.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
