date,lat,lon,ndvi,bloom_phase,region
2025-01-01,34.7,-117.9,0.445,Early Bloom,South CA
2025-01-01,35.0,-117.8,0.441,Early Bloom,South CA
2025-01-01,38.5,-121.5,0.359,Early Bloom,North CA
2025-01-01,38.0,-121.0,0.408,Early Bloom,North CA
2025-01-02,34.7,-117.9,0.301,Early Bloom,South CA
2025-01-02,35.0,-117.8,0.435,Early Bloom,South CA
2025-01-02,38.5,-121.5,0.407,Early Bloom,North CA
2025-01-02,38.0,-121.0,0.478,Early Bloom,North CA
2025-01-03,34.7,-117.9,0.489,Early Bloom,South CA
2025-01-03,35.0,-117.8,0.298,Early Bloom,South CA
2025-01-03,38.5,-121.5,0.451,Early Bloom,North CA
2025-01-03,38.0,-121.0,0.539,Full Bloom,North CA
2025-01-04,34.7,-117.9,0.429,Early Bloom,South CA
2025-01-04,35.0,-117.8,0.33,Early Bloom,South CA
2025-01-04,38.5,-121.5,0.521,Full Bloom,North CA
2025-01-04,38.0,-121.0,0.501,Full Bloom,North CA
2025-01-05,34.7,-117.9,0.502,Full Bloom,South CA
2025-01-05,35.0,-117.8,0.362,Early Bloom,South CA
2025-01-05,38.5,-121.5,0.627,Full Bloom,North CA
2025-01-05,38.0,-121.0,0.466,Early Bloom,North CA
2025-01-06,34.7,-117.9,0.388,Early Bloom,South CA
2025-01-06,35.0,-117.8,0.526,Full Bloom,South CA
2025-01-06,38.5,-121.5,0.498,Early Bloom,North CA
2025-01-06,38.0,-121.0,0.63,Full Bloom,North CA
2025-01-07,34.7,-117.9,0.537,Full Bloom,South CA
2025-01-07,35.0,-117.8,0.386,Early Bloom,South CA
2025-01-07,38.5,-121.5,0.542,Full Bloom,North CA
2025-01-07,38.0,-121.0,0.552,Full Bloom,North CA
2025-01-08,34.7,-117.9,0.463,Early Bloom,South CA
2025-01-08,35.0,-117.8,0.55,Full Bloom,South CA
2025-01-08,38.5,-121.5,0.648,Full Bloom,North CA
2025-01-08,38.0,-121.0,0.512,Full Bloom,North CA
2025-01-09,34.7,-117.9,0.551,Full Bloom,South CA
2025-01-09,35.0,-117.8,0.511,Full Bloom,South CA
2025-01-09,38.5,-121.5,0.503,Full Bloom,North CA
2025-01-09,38.0,-121.0,0.517,Full Bloom,North CA
2025-01-10,34.7,-117.9,0.474,Early Bloom,South CA
2025-01-10,35.0,-117.8,0.497,Early Bloom,South CA
2025-01-10,38.5,-121.5,0.582,Full Bloom,North CA
2025-01-10,38.0,-121.0,0.582,Full Bloom,North CA
2025-01-11,34.7,-117.9,0.539,Full Bloom,South CA
2025-01-11,35.0,-117.8,0.469,Early Bloom,South CA
2025-01-11,38.5,-121.5,0.641,Full Bloom,North CA
2025-01-11,38.0,-121.0,0.58,Full Bloom,North CA
2025-01-12,34.7,-117.9,0.52,Full Bloom,South CA
2025-01-12,35.0,-117.8,0.473,Early Bloom,South CA
2025-01-12,38.5,-121.5,0.649,Full Bloom,North CA
2025-01-12,38.0,-121.0,0.551,Full Bloom,North CA
2025-01-13,34.7,-117.9,0.508,Full Bloom,South CA
2025-01-13,35.0,-117.8,0.464,Early Bloom,South CA
2025-01-13,38.5,-121.5,0.541,Full Bloom,North CA
2025-01-13,38.0,-121.0,0.609,Full Bloom,North CA
2025-01-14,34.7,-117.9,0.528,Full Bloom,South CA
2025-01-14,35.0,-117.8,0.462,Early Bloom,South CA
2025-01-14,38.5,-121.5,0.566,Full Bloom,North CA
2025-01-14,38.0,-121.0,0.633,Full Bloom,North CA
2025-01-15,34.7,-117.9,0.458,Early Bloom,South CA
2025-01-15,35.0,-117.8,0.545,Full Bloom,South CA
2025-01-15,38.5,-121.5,0.642,Full Bloom,North CA
2025-01-15,38.0,-121.0,0.746,Full Bloom,North CA
2025-01-16,34.7,-117.9,0.546,Full Bloom,South CA
2025-01-16,35.0,-117.8,0.64,Full Bloom,South CA
2025-01-16,38.5,-121.5,0.57,Full Bloom,North CA
2025-01-16,38.0,-121.0,0.748,Full Bloom,North CA
2025-01-17,34.7,-117.9,0.626,Full Bloom,South CA
2025-01-17,35.0,-117.8,0.642,Full Bloom,South CA
2025-01-17,38.5,-121.5,0.672,Full Bloom,North CA
2025-01-17,38.0,-121.0,0.568,Full Bloom,North CA
2025-01-18,34.7,-117.9,0.623,Full Bloom,South CA
2025-01-18,35.0,-117.8,0.574,Full Bloom,South CA
2025-01-18,38.5,-121.5,0.595,Full Bloom,North CA
2025-01-18,38.0,-121.0,0.609,Full Bloom,North CA
2025-01-19,34.7,-117.9,0.521,Full Bloom,South CA
2025-01-19,35.0,-117.8,0.462,Early Bloom,South CA
2025-01-19,38.5,-121.5,0.718,Full Bloom,North CA
2025-01-19,38.0,-121.0,0.7,Full Bloom,North CA
2025-01-20,34.7,-117.9,0.497,Early Bloom,South CA
2025-01-20,35.0,-117.8,0.549,Full Bloom,South CA
2025-01-20,38.5,-121.5,0.563,Full Bloom,North CA
2025-01-20,38.0,-121.0,0.556,Full Bloom,North CA
2025-01-21,34.7,-117.9,0.511,Full Bloom,South CA
2025-01-21,35.0,-117.8,0.47,Early Bloom,South CA
2025-01-21,38.5,-121.5,0.712,Full Bloom,North CA
2025-01-21,38.0,-121.0,0.533,Full Bloom,North CA
2025-01-22,34.7,-117.9,0.593,Full Bloom,South CA
2025-01-22,35.0,-117.8,0.498,Early Bloom,South CA
2025-01-22,38.5,-121.5,0.561,Full Bloom,North CA
2025-01-22,38.0,-121.0,0.643,Full Bloom,North CA
2025-01-23,34.7,-117.9,0.49,Early Bloom,South CA
2025-01-23,35.0,-117.8,0.575,Full Bloom,South CA
2025-01-23,38.5,-121.5,0.577,Full Bloom,North CA
2025-01-23,38.0,-121.0,0.679,Full Bloom,North CA
2025-01-24,34.7,-117.9,0.533,Full Bloom,South CA
2025-01-24,35.0,-117.8,0.563,Full Bloom,South CA
2025-01-24,38.5,-121.5,0.652,Full Bloom,North CA
2025-01-24,38.0,-121.0,0.58,Full Bloom,North CA
2025-01-25,34.7,-117.9,0.384,Early Bloom,South CA
2025-01-25,35.0,-117.8,0.564,Full Bloom,South CA
2025-01-25,38.5,-121.5,0.649,Full Bloom,North CA
2025-01-25,38.0,-121.0,0.559,Full Bloom,North CA
2025-01-26,34.7,-117.9,0.53,Full Bloom,South CA
2025-01-26,35.0,-117.8,0.513,Full Bloom,South CA
2025-01-26,38.5,-121.5,0.589,Full Bloom,North CA
2025-01-26,38.0,-121.0,0.458,Early Bloom,North CA
2025-01-27,34.7,-117.9,0.516,Full Bloom,South CA
2025-01-27,35.0,-117.8,0.525,Full Bloom,South CA
2025-01-27,38.5,-121.5,0.451,Early Bloom,North CA
2025-01-27,38.0,-121.0,0.55,Full Bloom,North CA
2025-01-28,34.7,-117.9,0.431,Early Bloom,South CA
2025-01-28,35.0,-117.8,0.386,Early Bloom,South CA
2025-01-28,38.5,-121.5,0.574,Full Bloom,North CA
2025-01-28,38.0,-121.0,0.575,Full Bloom,North CA
2025-01-29,34.7,-117.9,0.335,Early Bloom,South CA
2025-01-29,35.0,-117.8,0.368,Early Bloom,South CA
2025-01-29,38.5,-121.5,0.491,Early Bloom,North CA
2025-01-29,38.0,-121.0,0.398,Early Bloom,North CA
2025-01-30,34.7,-117.9,0.284,Early Bloom,South CA
2025-01-30,35.0,-117.8,0.371,Early Bloom,South CA
2025-01-30,38.5,-121.5,0.507,Full Bloom,North CA
2025-01-30,38.0,-121.0,0.543,Full Bloom,North CA
